segmento,t_inicio,t_fin,a_x,b_x,c_x,d_x,a_y,b_y,c_y,d_y
595,0.24739692,0.24781341,-95826238.38523287,59868.66003234,-81.28000907,1.77552027,354775418.99096715,-261225.36162103,-414.07846502,42.33778053
596,0.24781341,0.24822990,95809533.74171706,-59864.24923700,-81.27817200,1.74512970,-354516168.51350349,182059.21021274,-447.05062304,42.14563751
597,0.24822990,0.24864640,-95747191.16342326,59847.78792467,-81.28502803,1.70781546,418050306.33019906,-260901.43349428,-479.88786722,41.96541223
598,0.24864640,0.24906289,95514525.49370117,-59786.35347069,-81.25944100,1.67742489,-503000749.36412460,261443.80556884,-479.66197298,41.75048770
599,0.24906289,0.24947938,-94646205.39305604,59557.07696708,-81.35493309,1.64011066,661442140.87156796,-367045.26069202,-523.64425333,41.55972293
600,0.24947938,0.24989588,91405590.66021018,-58701.40540659,-80.99855176,1.60972008,-921863507.65158725,459413.05776478,-485.17370061,41.32574625
601,0.24989588,0.25031237,-79311451.82943000,55507.99566822,-82.32858497,1.57240585,1336046921.40256262,-692436.38952996,-582.22631693,41.13676509
602,0.25031237,0.25072886,34175511.23921018,-43590.02827526,-77.36483346,1.54201527,-1623670372.50034690,976926.69427172,-463.73806006,40.87068350
603,0.25072886,0.25114536,1974581.11711603,-888.43155821,-95.88980632,1.50470104,990952037.13366580,-1051815.96191371,-494.92892538,40.72969755
604,0.25114536,0.25156185,8810599.35927478,1578.76683885,-95.60228642,1.46475214,-760143967.65829170,186358.17861136,-855.38614458,40.41270211
605,0.25156185,0.25197834,5186717.33469971,12587.42909534,-89.70216316,1.42584485,707526820.13557434,-763426.03753814,-1095.73094214,40.03384798
606,0.25197834,0.25239484,4365488.01312706,19068.12547356,-76.51784222,1.39104275,-510168288.99147958,120614.13755840,-1363.45768099,39.49617183
607,0.25239484,0.25281133,2793548.14616156,24522.71274527,-58.36255767,1.36279667,551004514.49593365,-516830.62169794,-1528.47912378,38.91236515
608,0.25281133,0.25322782,1421797.75789922,28013.19356097,-36.48171373,1.34294476,-428059274.78033835,171638.15942977,-1672.24941210,38.22592005
609,0.25322782,0.25364431,-0.00000001,29789.70054710,-12.40720556,1.33271245,573223525.25743377,-363213.07936284,-1752.03904972,37.52828688
610,0.25364431,0.25406081,-1421797.75789918,29789.70054710,12.40720556,1.33271245,-423988199.86230505,353017.89763523,-1756.28527285,36.77698337
611,0.25406081,0.25447730,-2793548.14616148,28013.19356097,36.48171373,1.34294476,534720214.82387739,-176746.61697824,-1682.86949582,36.07610728
612,0.25447730,0.25489379,-4365488.01312723,24522.71274527,58.36255767,1.36279667,-449102165.22138131,491375.26743303,-1551.82882507,35.38317634
